"Lake","Species","Morph_ID","Morph_zone","Morph_diet","Source","Evidence"
"SaqqaataTasia","Salvelinus_alpinus","SaqqaataTasia_PB","profundal","benthivore","01C","mix of ecological, morphological, behavioural traits"
"SaqqaataTasia","Salvelinus_alpinus","SaqqaataTasia_PI1","","piscivore","01C","mix of ecological, morphological, behavioural traits"
"SaqqaataTasia","Salvelinus_alpinus","SaqqaataTasia_PI2","","piscivore","01C","mix of ecological, morphological, behavioural traits"
"SaqqaataTasia","Salvelinus_alpinus","SaqqaataTasia_PL","pelagic","planktivore","01C","mix of ecological, morphological, behavioural traits"
"Severonichatskoe","Salvelinus_alpinus","Severonichatskoe_D","","planktivore","264A","body size distributions; morphology; stomach contents"
"Severonichatskoe","Salvelinus_alpinus","Severonichatskoe_L","","piscivore","264A","body size distributions; morphology; stomach contents"
"Sirdals","Salvelinus_alpinus","Sirdals_dwarf","littoral/benthic","","318A","morphology; location of capture"
"Sirdals","Salvelinus_alpinus","Sirdals_norm","profundal","","318A","morphology; location of capture"
"Sko","Salvelinus_alpinus","Sko_LO","littoral/benthic","omnivore","5A","morphology; location of capture; stomach contents"
"Sko","Salvelinus_alpinus","Sko_PZ","profundal","planktivore","5A","morphology; location of capture; stomach contents"
"Skogsfjord","Salvelinus_alpinus","Skogsfjord_LO","littoral/benthic","omnivore","68A","morphology; location of capture; stomach contents"
"Skogsfjord","Salvelinus_alpinus","Skogsfjord_PB","profundal","benthivore","68A","morphology; location of capture; stomach contents"
"Skogsfjord","Salvelinus_alpinus","Skogsfjord_PP","profundal","piscivore","68A","morphology; location of capture; stomach contents"
"Skrukkebukta","Coregonus_lavaretus","Skrukkebukta_DR","pelagic","planktivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Skrukkebukta","Coregonus_lavaretus","Skrukkebukta_LSR","littoral/benthic","benthivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Skrukkebukta","Coregonus_lavaretus","Skrukkebukta_SSR","profundal","benthivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Squanga","Coregonus_clupeaformis","Squanga_HGR","pelagic","planktivore","79C","Gill rakers; description in 79C"
"Squanga","Coregonus_clupeaformis","Squanga_LGR","littoral/benthic","benthivore","79C","Gill rakers; description in 79C"
"Stack","Salvelinus_alpinus","Stack_A","","generalist invertivore","176A","body size; stomach contents"
"Stack","Salvelinus_alpinus","Stack_B","","planktivore","176A","body size; stomach contents"
"Stechlin","Coregonus_albula","Stechlin_albula","pelagic","planktivore","166A","morphology; location"
"Stechlin","Coregonus_albula","Stechlin_fontanae","pelagic","planktivore","166A","morphology; location"
"Stora-Vidar","Salvelinus_alpinus","Stora-Vidar_B","littoral/benthic","benthivore","75C","morphology"
"Stora-Vidar","Salvelinus_alpinus","Stora-Vidar_L","pelagic","","75C","morphology"
"StoreRennen","Salvelinus_alpinus","StoreRennen_EB","littoral/benthic","","82C","morphology; location of capture; stomach contents"
"StoreRennen","Salvelinus_alpinus","StoreRennen_P","pelagic","","82C","morphology; location of capture; stomach contents"
"Stuora","Coregonus_lavaretus","Stuora_DR","pelagic","planktivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Stuora","Coregonus_lavaretus","Stuora_LSR","littoral/benthic","benthivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Stuora","Coregonus_lavaretus","Stuora_SSR","profundal","benthivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Suopat","Coregonus_lavaretus","Suopat_DR","pelagic","planktivore","28A","gill rakers; description in 28A"
"Suopat","Coregonus_lavaretus","Suopat_LSR","littoral/benthic","benthivore","28A","gill rakers; description in 28A"
"Suopat","Coregonus_lavaretus","Suopat_SSR","profundal","benthivore","28A","gill rakers; description in 28A"
"Superior","Salvelinus_namaycush","Superior_humper","pelagic","omnivore","16C","morphology; location of capture; description in 16C"
"Superior","Salvelinus_namaycush","Superior_lean","shallow","piscivore","16C","morphology; location of capture; description in 16C"
"Superior","Salvelinus_namaycush","Superior_redfin","","","16C","morphology; location of capture; description in 16C"
"Superior","Salvelinus_namaycush","Superior_siscowet","profundal","piscivore","16C","morphology; location of capture; description in 16C"
"Svetlinskoe","Salvelinus_alpinus","Svetlinskoe_D","","planktivore","49C","growth curves/distributions; diet ID from references in 49C table 1"
"Svetlinskoe","Salvelinus_alpinus","Svetlinskoe_S","","planktivore","49C","growth curves/distributions; diet ID from references in 49C table 1"
"Svina","Salvelinus_alpinus","Svina_B","","benthivore","75C","morphology"
"Svina","Salvelinus_alpinus","Svina_PI","","piscivore","75C","morphology"
"Svina","Salvelinus_alpinus","Svina_PL","","planktivore","75C","morphology"
"Tarn","Salvelinus_alpinus","Tarn_LO","littoral/benthic","omnivore","5A","morphology; location of capture; stomach contents"
"Tarn","Salvelinus_alpinus","Tarn_PB","profundal","benthivore","5A","morphology; location of capture; stomach contents"
"Tarn","Salvelinus_alpinus","Tarn_PP","profundal","piscivore","5A","morphology; location of capture; stomach contents"
"Tasersuaq","Salvelinus_alpinus","Tasersuaq_LB","littoral/benthic","benthivore","01C","mix of ecological, morphological, behavioural traits"
"Tasersuaq","Salvelinus_alpinus","Tasersuaq_PB","profundal","benthivore","01C","mix of ecological, morphological, behavioural traits"
"Tasersuaq","Salvelinus_alpinus","Tasersuaq_PI1","","piscivore","01C","mix of ecological, morphological, behavioural traits"
"Tasersuaq","Salvelinus_alpinus","Tasersuaq_PI2","","piscivore","01C","mix of ecological, morphological, behavioural traits"
"Tasersuaq","Salvelinus_alpinus","Tasersuaq_PL","pelagic","planktivore","01C","mix of ecological, morphological, behavioural traits"
